Sample_series_id,library name,title,source name,organism,molecule,description,processed data file ,raw file,single or paired-end,instrument model,Sample characteristics
GSE185234,Mock_1,"mock infection, replicate 1",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,Mock_1.bedgraph,Mock_1_R1.fq.gz;Mock_1_R2.fq.gz,NA,NA,NA
GSE185234,Mock_2,"mock infection, replicate 2",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,Mock_2.bedgraph,Mock_2_R1.fq.gz;Mock_2_R2.fq.gz,NA,NA,NA
GSE185234,WT_1,"HSV-1 wt, strain 17, replicate 1",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,WT_1.bedgraph,WT_1_R1.fq.gz;WT_1_R2.fq.gz,NA,NA,infection status:8 hpi&&virus strain:strain 17&&
GSE185234,WT_2,"HSV-1 wt, strain 17, replicate 2",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,WT_2.bedgraph,WT_2_R1.fq.gz;WT_2_R2.fq.gz,NA,NA,infection status:8 hpi&&virus strain:strain 17&&
GSE185234,WT_plus_PAA_1,"HSV-1 wt, strain 17, +PAA, replicate 1",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,WT_plus_PAA_1.bedgraph,WT_plus_PAA_1_R1.fq.gz;WT_plus_PAA_1_R2.fq.gz,NA,NA,infection status:8 hpi&&treatment:PAA 300ug/ml&&virus strain:strain 17&&
GSE185234,WT_plus_PAA_2,"HSV-1 wt, strain 17, +PAA, replicate 2",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,WT_plus_PAA_2.bedgraph,WT_plus_PAA_2_R1.fq.gz;WT_plus_PAA_2_R2.fq.gz,NA,NA,infection status:8 hpi&&treatment:PAA 300ug/ml&&virus strain:strain 17&&
GSE185234,dICP0_1,"HSV-1 lacking expression of ICP0, replicate 1",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,dICP0_1.bedgraph,dICP0_1_R1.fq.gz;dICP0_1_R2.fq.gz,NA,NA,"infection status:12 hpi&&virus strain:strain 17, dl1403&&"
GSE185234,dICP0_2,"HSV-1 lacking expression of ICP0, replicate 2",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,dICP0_2.bedgraph,dICP0_2_R1.fq.gz;dICP0_2_R2.fq.gz,NA,NA,"infection status:12 hpi&&virus strain:strain 17, dl1403&&"
GSE185234,dICP22_1,"HSV-1 lacking expression of ICP22, HSV-1 strain F mutant R325, replicate 1",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,dICP22_1.bedgraph,dICP22_1_R1.fq.gz;dICP22_1_R2.fq.gz,NA,NA,"infection status:12 hpi&&virus strain:strain F, R325&&"
GSE185234,dICP22_2,"HSV-1 lacking expression of ICP22, HSV-1 strain F mutant R325, replicate 2",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,dICP22_2.bedgraph,dICP22_2_R1.fq.gz;dICP22_2_R2.fq.gz,NA,NA,"infection status:12 hpi&&virus strain:strain F, R325&&"
