Series_geo_accession,Virus,title,summary,overall design,contributor,supplementary file,status,contact,NCBI_generated_data,ARCHS4
GSE100469,HSV-1,HSV-1 infection induces a delay of promoter-proximal pausing linked to a shift of H2A.Z-containing +1 nucleosomes (H2A.Z ChIPmentation),"HFFF cells were either mock or WT strain 17 HSV-1 infected for 8 h.  Samples were processed according to the original ChIPmentation protocol (Schmidl C et al. ChIPmentation: fast, robust, low-input ChIP-seq for histones and transcription factors. Nat Methods. 2015) with few changes as explained in the Materials and Methods section.",We profiled the noncanonical histone H2A.Z  in mock and WT strain 17 HSV-1 infected cells with ChIPmentation.,Elena Weiß;Thomas Hennig;Pilar Grassl;Lara Djakovic;Adam W. Whisnant;Christopher S. Jürges;Franziska Koller;Michael Kluge;Florian Erhard;Lars Dölken;Caroline C. Friedel;,NA,Public,Lars Dölken/Caroline Friedel,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE100469,https://maayanlab.cloud/archs4/series/GSE100469
GSE100576,HSV-1,HSV-1 infection induces a delay of promoter-proximal pausing linked to a shift of H2A.Z-containing +1 nucleosomes (H2A.Z ChIPmentation),"HFFF cells were either mock or WT strain 17 HSV-1 infected for 8 h.  Samples were processed according to the original ChIPmentation protocol (Schmidl C et al. ChIPmentation: fast, robust, low-input ChIP-seq for histones and transcription factors. Nat Methods. 2015) with few changes as explained in the Materials and Methods section.",We profiled the noncanonical histone H2A.Z  in mock and WT strain 17 HSV-1 infected cells with ChIPmentation.,Elena Weiß;Thomas Hennig;Pilar Grassl;Lara Djakovic;Adam W. Whisnant;Christopher S. Jürges;Franziska Koller;Michael Kluge;Florian Erhard;Lars Dölken;Caroline C. Friedel;,NA,Public,Lars Dölken/Caroline Friedel,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE100576,https://maayanlab.cloud/archs4/series/GSE100576
GSE100611,HSV-1,HSV-1 infection induces a delay of promoter-proximal pausing linked to a shift of H2A.Z-containing +1 nucleosomes (H2A.Z ChIPmentation),"HFFF cells were either mock or WT strain 17 HSV-1 infected for 8 h.  Samples were processed according to the original ChIPmentation protocol (Schmidl C et al. ChIPmentation: fast, robust, low-input ChIP-seq for histones and transcription factors. Nat Methods. 2015) with few changes as explained in the Materials and Methods section.",We profiled the noncanonical histone H2A.Z  in mock and WT strain 17 HSV-1 infected cells with ChIPmentation.,Elena Weiß;Thomas Hennig;Pilar Grassl;Lara Djakovic;Adam W. Whisnant;Christopher S. Jürges;Franziska Koller;Michael Kluge;Florian Erhard;Lars Dölken;Caroline C. Friedel;,NA,Public,Lars Dölken/Caroline Friedel,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE100611,https://maayanlab.cloud/archs4/series/GSE100611
GSE101731,HSV-1,HSV-1 infection induces a delay of promoter-proximal pausing linked to a shift of H2A.Z-containing +1 nucleosomes (H2A.Z ChIPmentation),"HFFF cells were either mock or WT strain 17 HSV-1 infected for 8 h.  Samples were processed according to the original ChIPmentation protocol (Schmidl C et al. ChIPmentation: fast, robust, low-input ChIP-seq for histones and transcription factors. Nat Methods. 2015) with few changes as explained in the Materials and Methods section.",We profiled the noncanonical histone H2A.Z  in mock and WT strain 17 HSV-1 infected cells with ChIPmentation.,Elena Weiß;Thomas Hennig;Pilar Grassl;Lara Djakovic;Adam W. Whisnant;Christopher S. Jürges;Franziska Koller;Michael Kluge;Florian Erhard;Lars Dölken;Caroline C. Friedel;,NA,Public,Lars Dölken/Caroline Friedel,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE101731,https://maayanlab.cloud/archs4/series/GSE101731
GSE128880,HSV-1,Subcellular RNA fractions of HSV-1 infected primary human fibroblasts including infection with delta-ICP27 mutant,"Primary human foreskin fibroblasts (HFF) were infected with wild-type simplex virus 1 (HSV-1) strain 17 or its ICP27 null mutant at a multiplicity of infection (MOI) of 10. Subcellular RNA fractions including total RNA, cytoplasmic RNA, nucleoplasmic RNA and chromatin-associated RNA were prepared and subjected to RNA-seq","HFF were infected with HSV-1 strain 17 or its ICP27-null mutant for 8h (or mock). Subcellular RNA fractions were prepared combining the following two protocols (PMID: 19656867, RNA 2009; and PMID: 23449254, Nature Protocols 2013) as described in Hennig et al., PLoS Pathogens 2018 (https://doi.org/10.1371/journal.ppat.1006954). Two independent biological replicates were analysed.",Adam Whisnant;Thomas Hennig;Marco Michalski;Andrzej Rutkowski;Lara Djakovic;Marie-Sophie Friedl;Bhaskar Jha;Marisa Baptista;Anne L'Hernault;Florian Erhard;Caroline C. Friedel;Lars Dölken;,nan,Public,Lars Dölken/Caroline Friedel,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE128880,https://maayanlab.cloud/archs4/series/GSE128880
GSE129582,HSV-1,Subcellular RNA fractions of HSV-1 infected primary human fibroblasts including infection with delta-Vhs mutant,"Primary human foreskin fibroblasts (HFF) were infected with wild-type simplex virus 1 (HSV-1) strain 17 or its vhs null mutant at a multiplicity of infection (MOI) of 10. Subcellular RNA fractions including total RNA, cytoplasmic RNA, nucleoplasmic RNA and chromatin-associated RNA were prepared and subjected to RNA-seq.","HFF were infected with HSV-1 strain 17 or its vhs-null mutant for 8h (or mock). Subcellular RNA fractions were prepared combining the following two protocols (PMID: 19656867, RNA 2009; and PMID: 23449254, Nature Protocols 2013) as described in Hennig et al., PLoS Pathogens 2018 (https://doi.org/10.1371/journal.ppat.1006954). Two independent biological replicates were analysed. Data for HFF infected with wild-type HSV-1 strain 17 for 8h (or mock) can  be found under accession GSE100576.",Adam Whisnant;Thomas Hennig;Marco Michalski;Andrzej Rutkowski;Lara Djakovic;Marie-Sophie Friedl;Bhaskar Jha;Marisa Baptista;Anne L'Hernault;Florian Erhard;Caroline C. Friedel;Lars Dölken;,nan,Public,Lars Dölken/Caroline Friedel,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE129582,https://maayanlab.cloud/archs4/series/GSE129582
GSE129715,HSV-1,HSV-1 infection induces a delay of promoter-proximal pausing linked to a shift of H2A.Z-containing +1 nucleosomes (H2A.Z ChIPmentation),"HFFF cells were either mock or WT strain 17 HSV-1 infected for 8 h.  Samples were processed according to the original ChIPmentation protocol (Schmidl C et al. ChIPmentation: fast, robust, low-input ChIP-seq for histones and transcription factors. Nat Methods. 2015) with few changes as explained in the Materials and Methods section.",We profiled the noncanonical histone H2A.Z  in mock and WT strain 17 HSV-1 infected cells with ChIPmentation.,Elena Weiß;Thomas Hennig;Pilar Grassl;Lara Djakovic;Adam W. Whisnant;Christopher S. Jürges;Franziska Koller;Michael Kluge;Florian Erhard;Lars Dölken;Caroline C. Friedel;,NA,Public,Lars Dölken/Caroline Friedel,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE129715,https://maayanlab.cloud/archs4/series/GSE129715
GSE132920,HSV-1,Chromatin-associated RNA of HSV-1 infected primary human fibroblasts including infection with vhs mutants,"Primary human foreskin fibroblasts (HFF) were infected with wild-type herpes simplex virus 1 (HSV-1) strain 17 or its vhs null mutant, or with BAC-derived viruses expressing either a wild-type or catalytically inactive vhs with the D195N mutation at a multiplicity of infection (MOI) of 10. Chromatin-associated RNA was prepared and subjected to RNA-seq.","HFF were infected with HSV-1 strain 17, its vhs-null mutant, BAC-derived strain 17 (WT-BAC), or BAC-derived strain 17 with the vhsD195N mutation (WT-BAC VhsD195N) for 8h (or mock). Chromatin-associated RNA was prepared combining the following two protocols (PMID: 19656867, RNA 2009; and PMID: 23449254, Nature Protocols 2013) as described in Hennig et al., PLoS Pathogens 2018 (https://doi.org/10.1371/journal.ppat.1006954). Two independent biological replicates were analysed.",Caroline C. Friedel;Adam W. Whisnant;Lara Djakovic;Andrzej J. Rutkowski;Marie-Sophie Friedl;Michael Kluge;Somesh Sai;Ramon Oliveira Vidal;Thomas Hennig;Sascha Sauer;Florian Erhard;Lars Dölken;,nan,Public,Lars Dölken/Caroline Friedel,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE132920,https://maayanlab.cloud/archs4/series/GSE132920
GSE140068,HSV-1,Chromatin-associated RNA of HSV-1 infected primary human fibroblasts including infection with vhs mutants,"Primary human foreskin fibroblasts (HFF) were infected with wild-type herpes simplex virus 1 (HSV-1) strain 17 or its vhs null mutant, or with BAC-derived viruses expressing either a wild-type or catalytically inactive vhs with the D195N mutation at a multiplicity of infection (MOI) of 10. Chromatin-associated RNA was prepared and subjected to RNA-seq.","HFF were infected with HSV-1 strain 17, its vhs-null mutant, BAC-derived strain 17 (WT-BAC), or BAC-derived strain 17 with the vhsD195N mutation (WT-BAC VhsD195N) for 8h (or mock). Chromatin-associated RNA was prepared combining the following two protocols (PMID: 19656867, RNA 2009; and PMID: 23449254, Nature Protocols 2013) as described in Hennig et al., PLoS Pathogens 2018 (https://doi.org/10.1371/journal.ppat.1006954). Two independent biological replicates were analysed.",Caroline C. Friedel;Adam W. Whisnant;Lara Djakovic;Andrzej J. Rutkowski;Marie-Sophie Friedl;Michael Kluge;Somesh Sai;Ramon Oliveira Vidal;Thomas Hennig;Sascha Sauer;Florian Erhard;Lars Dölken;,nan,Public,Lars Dölken/Caroline Friedel,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE140068,https://maayanlab.cloud/archs4/series/GSE140068
GSE151912,HSV-1,Chromatin-associated RNA of HSV-1 infected primary human fibroblasts including infection with vhs mutants,"Primary human foreskin fibroblasts (HFF) were infected with wild-type herpes simplex virus 1 (HSV-1) strain 17 or its vhs null mutant, or with BAC-derived viruses expressing either a wild-type or catalytically inactive vhs with the D195N mutation at a multiplicity of infection (MOI) of 10. Chromatin-associated RNA was prepared and subjected to RNA-seq.","HFF were infected with HSV-1 strain 17, its vhs-null mutant, BAC-derived strain 17 (WT-BAC), or BAC-derived strain 17 with the vhsD195N mutation (WT-BAC VhsD195N) for 8h (or mock). Chromatin-associated RNA was prepared combining the following two protocols (PMID: 19656867, RNA 2009; and PMID: 23449254, Nature Protocols 2013) as described in Hennig et al., PLoS Pathogens 2018 (https://doi.org/10.1371/journal.ppat.1006954). Two independent biological replicates were analysed.",Caroline C. Friedel;Adam W. Whisnant;Lara Djakovic;Andrzej J. Rutkowski;Marie-Sophie Friedl;Michael Kluge;Somesh Sai;Ramon Oliveira Vidal;Thomas Hennig;Sascha Sauer;Florian Erhard;Lars Dölken;,nan,Public,Lars Dölken/Caroline Friedel,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE151912,https://maayanlab.cloud/archs4/series/GSE151912
