study_accession	experiment_accession	experiment_title	sample_taxon_id	sample_scientific_name	experiment_library_strategy	experiment_library_source	experiment_library_selection	sample_accession	sample_alias	experiment_instrument_model	pool_member_spots	run_1_size	run_1_accession	run_1_total_spots	run_1_total_bases
SRP484813	SRX23331862	GSM8027538: LCL_Ctrl_2_Basal; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194315	GSM8027538	Illumina NovaSeq 6000	79537140	5052222166	SRR27663996	79537140	16066502280
SRP484813	SRX23331861	GSM8027537: LCL_Ctrl_2_Stim_IL27; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194314	GSM8027537	Illumina NovaSeq 6000	84247208	5332382274	SRR27663997	84247208	17017936016
SRP484813	SRX23331860	GSM8027536: LCL_Ctrl_1_Basal; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194312	GSM8027536	Illumina NovaSeq 6000	84104188	5318560152	SRR27663998	84104188	16989045976
SRP484813	SRX23331859	GSM8027535: LCL_Ctrl_1_Stim_IL27; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194313	GSM8027535	Illumina NovaSeq 6000	92439514	5856192618	SRR27663999	92439514	18672781828
SRP484813	SRX23331858	GSM8027534: LCL_P2_Basal; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194310	GSM8027534	Illumina NovaSeq 6000	83256257	5315924285	SRR27664000	83256257	16817763914
SRP484813	SRX23331857	GSM8027533: LCL_P2_Stim_IL27; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194311	GSM8027533	Illumina NovaSeq 6000	70649893	4477431000	SRR27664001	70649893	14271278386
SRP484813	SRX23331856	GSM8027532: LCL_P1_1_Basal; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194309	GSM8027532	Illumina NovaSeq 6000	57341816	3653312675	SRR27664002	57341816	11583046832
SRP484813	SRX23331855	GSM8027531: LCL_P1_1_Stim_IL27; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194308	GSM8027531	Illumina NovaSeq 6000	77454923	4916465766	SRR27664003	77454923	15645894446
SRP484593	SRX23306204	Ramos-Lv-ZEBRA-2	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	SRS20182882	Ramos-Lv-ZEBRA-2	Illumina NovaSeq 6000	26769110	2658112094	SRR27638013	26769110	8030733000
SRP484593	SRX23306203	Ramos-Lv-ZEBRA-1	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	SRS20182881	Ramos-Lv-ZEBRA-1	Illumina NovaSeq 6000	26979508	2625343680	SRR27638014	26979508	8093852400
SRP484593	SRX23306202	Ramos-Lv-Vector-2	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	SRS20182880	Ramos-Lv-Vector-2	Illumina NovaSeq 6000	23502733	2326233686	SRR27638015	23502733	7050819900
SRP484593	SRX23306201	Ramos-Lv-Vector-1	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	SRS20182879	Ramos-Lv-Vector-1	Illumina NovaSeq 6000	24979133	2431076589	SRR27638016	24979133	7493739900
SRP484593	SRX23306200	Ramos-2	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	SRS20182878	Ramos-2	Illumina NovaSeq 6000	24696247	2413088862	SRR27638017	24696247	7408874100
